label,text,Manual_Category
4,I've been going here for about 4 yrs.Cleanest nail salon I've ever been to! Everything they use on you comes out of a bag. Not all salons are sanitary which can cause health problems. I will never go to another salon again!,Salons/Barbershops
1,"We've wanted to try Thai E-San since they opened, and we finally made it down.  The ambiance is very nice.  The music was soothing and appropriate, but the food left something to be desired.  We started with the pork satay.  The pork was very good and perfectly cooked.  But the peanut sauce was bland and chalky.  I couldn't taste the peanut.  For our entr\u00e9e we ordered the Panang; Chicken with carrots in coconut milk and peanut sauce.  Maybe it's just me, but I don't like the spice that makes your food taste like lemon cleaning fluid.  Is it ginger? I don't know really.  But the Panang had a lot of it and that was all I could taste.  The service was good and the other patrons seemed to enjoy their meals, so to be fair, I would have to reserve judgment on Thai E-San until I've tried a few other things on their menu.  The problem is, we really like Thai Lahna and they aren't much further away.",Restaurants
0,The food is ok but the service is terrible!!!! Every single time we come in here it is so so so so slow!!! They really need to work on that! I see servers standing around talking while there is multiple tables with no food or drinks. SLOOOWWWWWW!,Restaurants
3,"There's typically a 15-20 minute wait when we come in on Sundays, but that's to be expected. Servers are quick and friendly, the pancakes are fluffy and have a hint of lemon zest which is so good! \n\nMy only disappointment is the limited menu. The omelets have kinda weird ingredients and are very, very rich. Before going, I'd definitely give it a once over to make sure it has something you'll like.\n\nYou get your bill and pay up at the entrance, so the turnover is pretty quick. Very good and efficient!",Restaurants
3,"Five guys offers a basic selection of burgers, sandwiches, and hot dogs, with a plethora of toppings to choose from, free of charge! You can choose between a two patty burger (The regular size), or the \""little\"" one patty size. Fries can either be plain or tasty Cajun style. \n\nI went with a \""little\"" bacon cheeseburger. Don't let the moniker fool you- there is nothing little about this burger! It was a sizable portion of beef, with fresh, tasty ingredients. We also split a medium size order of Cajun fries.\n\nI went with \""all the way\"" minus mayo, and added jalapeno. \""All the way\"" means basic ingredients you would typically find in your burger, outlined in black on the menu board. Such ingredients include mustard, ketchup, lettuce, pickles, tomato, grilled onion, grilled mushroom, and mayo. The more non-traditional toppings are outlined in red on the menu board, and include jalapeno, relish, and A1 sauce. \n\nService was fast and friendly, and my burger and fries were made in no time.\n\nThe burger was nicely grilled, and the veggies were fresh and crisp. Even the jalapeno was fresh and thinly sliced. It packed a punch! The bacon was the equivalent of 1 strip on the burger, which was cooked nice and crisp. The grilled onions were a nice addition, but if you order them on your burger don't expect a lot of caramelized flavor on them since they'll taste a little more steamed than grilled.\n\nThe fries were delicious. The Cajun spice mix dusting them were a good addition. The medium size is a good size if you are sharing with someone.\n\nThe drink fountain is the cool \""create your own\"" soda machine, with a multitude in diet and regular options. Orange flavored mello yello? Lime ginger ale? Vanilla diet barqs? Yes please!\n\nPlus, any place that plays The Ramones in their restaurant is A-OK in my book!",Restaurants
4,Good food and service. We tried a little of everything since this was our first time here.  The best part was the carne asada quesadilla.  It had so much meat and cheese.  The salsa bar is pretty legit also and it has 5 different salsas.after I selected my salsa the nice cashier lady came over and brought me a bag to put them in so they didn't spill.  Next was the bean and cheese burrito enchilada style.  The carnitas weren't that great but they weren't bad.  The carne asada taco was good but Would of been better With some avocado and less onion.  If you're in the area you should for sure Check them out.,Restaurants
1,"No clothes here yet, no need to go in!  \n\njust home and furniture, waste of what it could be!",Home Services
4,"I just moved here from Boston - home of fresh seafood - and was so happy to discover this sushi bar in my neighborhood.  I slipped in, was seated immediately, got exactly what I wanted with no wait, and got back out of there in 20 minutes.",Bars
2,"This review is based on their Grill Section of the restaurant.\n\nBeen coming here and having lunch with the girls often since it's closer to their work.Their prices are pretty reasonable.\n\nThis last trip there, I had their bento box combo with Teri beef and mochiko chicken. Both the teri beef and mochiko chicken was a tad on a sweeter side. I did enjoyed it and my son enjoyed the noodles that come with it.\n\nI had their saimin (previous trip) and it's not the greatest saimin I've had...\n\nOverall, the food, I give it a 3 1/2 stars.\nService is more of a 4 stars.",Restaurants
1,"Another burger place.  Don't get me wrong, I love hamburgers, but I don't need more temptation to eat another burger.  This is the third one within a mile, not including McDonlds and The Vine.\n\nIt was not easy getting into this place either if you're East bound on Elliot Rd.\nI drove around that parking lot looking for a way on that doesn't currently exist.   :-p\n\nI will tell you service was prompt and polite.  Menu appears to have some decent options.\nMy fail was to combine some toppings on the burger that just didn't blend well.  I don't understand.  Blue cheese, spinach, tomatoe, and onion is GREAT as a salad.  On top of a burger it was blech.  \nBurger was well done, as in overcooked.  And greasy.\nThe egg bun is good.\nFrench fries are alright.\nShake was tasty, but how often do you encounter a shake fail.  \n\nPersonally, I dont think we'll be back here very often.",Restaurants
